STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
         44;19720101;19721231;    5;  5.35;   8.11;   12.06;    4.27;    2.64; 1382.40;  39.8;  31.4; -14.7;    5;   652.3;   26.4;eor
         44;19730101;19731231;    5;  5.33;   8.71;   12.78;    4.75;    2.70; 1499.20;  28.6;  32.2; -14.9;    5;   619.7;   17.1;eor
         44;19740101;19741231;    5;  5.34;   9.30;   13.08;    5.41;    2.87; 1482.20;  26.3;  29.4;  -4.7;    5;   767.7;   30.0;eor
         44;19750101;19751231;    5;  5.07;   9.40;   13.49;    5.39;    2.67; 1667.70;  23.2;  33.9;  -9.7;    5;   594.9;   21.0;eor
         44;19760101;19761231;    5;  4.99;   8.85;   12.90;    4.62;    2.72; 1740.00;  34.4;  33.9; -11.8;    5;   579.0;   30.6;eor
         44;19770101;19771231;    5;  5.58;   9.06;   12.67;    5.39;    2.70; 1312.20;  27.3;  29.0;  -6.8;    5;   650.3;   23.6;eor
         44;19780101;19781231;    5;  5.64;   8.24;   11.78;    4.91;    2.68; 1270.10;  24.2;  30.0; -17.5;    5;   734.7;   25.0;eor
         44;19790101;19791231;    5;  5.57;   7.66;   11.43;    4.18;    2.65; 1324.20;  28.8;  29.6; -22.0;    5;   698.6;   29.2;eor
         44;19800101;19801231;    5;  5.40;   8.34;   11.95;    4.86;    2.88; 1504.30;  28.3;  29.2; -11.4;    5;   743.7;   25.6;eor
         44;19810101;19811231;   10;  5.52;   8.61;   12.24;    4.97;    2.79; 1354.30;  27.8;  30.4; -14.0;   10;   822.4;   45.0;eor
         44;19820101;19821231;   10;  4.71;   9.29;   13.37;    5.47;    2.73; 1660.60;  26.8;  31.7; -16.2;   10;   716.7;   30.8;eor
         44;19830101;19831231;   10;  5.20;   9.61;   13.58;    5.86;    2.93; 1533.10;  30.9;  32.5; -14.5;   10;   729.5;   22.5;eor
         44;19840101;19841231;   10;  5.59;   8.57;   12.18;    5.13;    2.83; 1331.40;  35.0;  31.4;  -7.7;   10;   774.0;   30.5;eor
         44;19850101;19851231;   10;  5.62;   7.80;   11.43;    4.23;    2.71; 1397.50;  32.4;  30.3; -18.7;   10;   693.2;   20.1;eor
         44;19860101;19861231;   10;  5.20;   8.30;   12.28;    4.42;    2.81; 1648.90;  28.3;  32.0; -20.4;   10;   703.2;   18.7;eor
         44;19870101;19871231;   10;  5.67;   7.83;   11.30;    4.34;    2.66; 1338.00;  25.2;  29.2; -19.9;   10;   803.5;   24.6;eor
         44;19880101;19881231;   10;  5.70;   9.62;   13.12;    6.23;    3.01; 1365.90;  23.7;  27.8;  -8.0;   10;   781.9;   22.5;eor
         44;19890101;19891231;   10;  5.18;   9.99;   13.94;    6.14;    2.81; 1709.50;  29.9;  31.4;  -9.0;   10;   645.4;   32.5;eor
         44;19900101;19901231;   10;  5.30;  10.11;   13.92;    6.39;    2.91; 1647.20;  40.7;  33.6;  -5.4;   10;   777.5;   27.9;eor
         44;19910101;19911231;   10;  5.22;   8.82;   12.63;    5.23;    2.52; 1629.90;  30.4;  31.5; -12.2;    9;   588.0;   32.6;eor
         44;19920101;19921231;   10;  5.38;   9.95;   13.76;    6.23;    2.69; 1611.10;  34.0;  35.8;  -9.1;    9;   742.2;   26.9;eor
         44;19930101;19931231;   10;  5.26;   8.57;   12.44;    4.97;    2.35; 1405.80;-999;  28.8; -12.6;    9;  1071.2;   48.3;eor
         44;19940101;19941231;   10;  5.34;   9.74;   13.71;    5.77;    2.08; 1457.60;-999;  35.0; -12.0;    9;   993.7;   50.4;eor
         44;19950101;19951231;   10;  4.86;   9.32;   13.54;    5.11;    2.30; 1649.70;-999;  33.0; -12.0;    9;   842.4;   33.4;eor
