STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
         71;19870101;19871231;   10;  4.98;   7.04;   11.64;    3.21;    1.42;-999;-999;  30.2; -24.5;   10;  1012.0;   30.2;eor
         71;19880101;19881231;   10;  5.01;   8.15;   12.86;    4.37;    1.62;-999;-999;  30.6; -12.3;   10;  1149.2;   35.9;eor
         71;19890101;19891231;   10;  4.25;   8.30;   13.84;    3.90;    1.75;-999;-999;  32.3; -12.7;   10;   753.9;   50.8;eor
         71;19900101;19901231;   10;  4.71;   8.21;   13.56;    3.93;    1.91;-999;-999;  31.2; -11.4;   10;   929.9;   30.4;eor
         71;19910101;19911231;   10;  4.82;   7.28;   12.28;    3.11;    1.78;-999;-999;  32.4; -15.2;    9;   652.9;   30.1;eor
         71;19920101;19921231;   10;  4.87;   7.99;   12.97;    4.02;    1.63;-999;-999;  31.6; -15.2;    9;   971.2;   50.9;eor
         71;19930101;19931231;   10;  5.00;   7.56;   12.41;    3.55;    1.52;-999;-999;  30.4; -15.3;    9;   979.9;   34.4;eor
         71;19950101;19951231;   10;  5.69;   7.67;   12.32;    3.73;    1.85;-999;-999;  32.1; -14.4;    9;  1130.2;   44.9;eor
         71;19960101;19961231;   10;  5.60;   6.27;   11.00;    2.45;-999;-999;-999;  28.8; -18.5;    9;   821.0;   46.2;eor
         71;19970101;19971231;   10;  -999;   7.75;   13.11;    3.64;-999;-999;-999;  28.5; -15.7;    9;   771.9;   36.5;eor
         71;19980101;19981231;   10;  -999;   7.85;   12.84;    3.65;-999;-999;-999;  33.4; -12.4;    9;   928.9;   43.8;eor
         71;19990101;19991231;   10;  5.98;   7.89;   12.77;    4.03;    2.21;-999;-999;  30.4; -16.5;    9;  1106.2;   38.9;eor
         71;20000101;20001231;   10;  5.81;   8.60;   13.43;    4.55;    2.14;-999;-999;  30.0; -18.0;    9;  1046.2;   56.7;eor
         71;20010101;20011231;   10;  5.85;   7.88;   12.35;    3.92;    2.18;-999;-999;  30.6; -17.9;    9;  1146.6;   35.4;eor
         71;20020101;20021231;   10;  5.74;   8.52;   13.26;    4.52;    2.09;-999;-999;  33.8; -14.3;    9;  1194.5;   48.7;eor
         71;20030101;20031231;   10;  5.03;   8.27;   14.12;    3.62;    2.05;-999;-999;  34.1; -16.0;    9;   840.6;   57.5;eor
         71;20040101;20041231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    9;   987.9;   39.3;eor
         71;20050101;20051231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    9;   878.2;   24.3;eor
         71;20060101;20061231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    9;   956.8;   44.3;eor
         71;20070101;20071231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    9;   998.6;   41.5;eor
         71;20080101;20081231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    9;   903.7;   53.3;eor
         71;20100101;20101231;   10;  5.31;   6.81;   11.09;    2.72;    2.05;-999;-999;  31.7; -15.8;    9;   930.7;   36.4;eor
         71;20110101;20111231;   10;  4.75;   8.70;   13.92;    3.91;    2.24; 2049.10;-999;  31.6; -13.2;    9;   779.1;   36.9;eor
         71;20120101;20121231;   10;  -999;   8.04;   12.82;    3.49;-999; 1862.50;-999;  32.1; -18.9;    9;  1015.6;   47.7;eor
         71;20130101;20131231;   10;  -999;   7.48;   11.71;    3.52;-999; 1476.00;-999;  33.4; -12.3;    9;  1063.4;   72.0;eor
         71;20140101;20141231;   10;  -999;   9.18;   13.76;    4.99;-999; 1639.50;-999;  32.6; -16.3;    9;   901.6;   39.8;eor
         71;20150101;20151231;    3;  -999;   9.02;   14.01;    4.41;-999; 1881.60;-999;  33.9; -10.5;    9;   695.0;   50.2;eor
         71;20160101;20161231;    3;  -999;   8.41;   13.07;    4.25;-999; 1623.18;-999;  31.1; -12.0;    9;   888.4;   31.2;eor
         71;20170101;20171231;    3;  -999;   8.52;   13.39;    4.00;-999; 1810.35;-999;  31.2; -17.3;    9;   880.4;   33.1;eor
         71;20180101;20181231;    3;  -999;   9.35;   14.32;    4.86;-999; 1956.83;-999;  33.2; -16.8;    9;   713.8;   40.3;eor
         71;20190101;20191231;    3;  -999;   8.94;   13.80;    4.43;-999; 1890.36;-999;  33.5;  -9.7;-999;-999;-999;eor
