STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
         52;19730101;19731231;    5;  5.40;   8.34;   12.35;    4.63;    2.35; 1661.10;-999;  31.0; -12.6;    5;   768.1;   26.4;eor
         52;19740101;19741231;    5;  5.60;   8.86;   12.64;    5.35;    2.32; 1563.90;-999;  31.5;  -6.4;    5;   894.5;   37.3;eor
         52;19750101;19751231;    5;  5.33;   9.25;   13.30;    5.49;    2.17; 1828.70;-999;  35.4; -10.0;    5;   562.7;   20.9;eor
         52;19760101;19761231;    5;  5.29;   8.46;   12.47;    4.52;    2.25; 1835.40;-999;  32.8; -11.4;    5;   612.7;   24.8;eor
         52;19770101;19771231;    5;  5.93;   8.61;   12.20;    5.22;    2.32; 1453.00;-999;  29.0;  -6.5;    5;   822.3;   33.9;eor
         52;19780101;19781231;    5;  6.05;   7.90;   11.41;    4.53;    2.39; 1448.10;-999;  30.4; -19.7;    5;   837.9;   35.2;eor
         52;19790101;19791231;    5;  5.66;   7.29;   10.97;    3.84;    2.37; 1485.60;-999;  30.6; -19.6;    5;   737.3;   24.5;eor
         52;19800101;19801231;    5;  5.36;   7.70;   11.50;    4.15;    2.25; 1489.20;-999;  29.5; -15.5;    5;   927.3;   32.2;eor
         52;19810101;19811231;   10;  5.73;   8.20;   11.97;    4.61;    2.44; 1298.10;  26.7;  30.5; -18.7;   10;   948.3;   25.6;eor
         52;19820101;19821231;   10;  5.00;   8.88;   13.14;    4.94;    2.30; 1566.50;-999;  32.2; -21.1;   10;   716.6;   27.8;eor
         52;19830101;19831231;   10;  5.37;   9.29;   13.39;    5.39;    2.46; 1434.80;  28.0;  31.9; -15.6;   10;   862.8;   31.8;eor
         52;19840101;19841231;   10;  5.67;   8.24;   11.80;    5.07;    2.25; 1305.70;  26.4;  29.8;  -8.6;   10;   814.8;   27.1;eor
         52;19850101;19851231;   10;  5.78;   7.18;   10.88;    3.66;    2.16; 1277.00;  26.0;  30.3; -19.8;   10;   799.8;   34.6;eor
         52;19860101;19861231;   10;  5.39;   7.77;   11.84;    3.70;    2.34; 1497.30;-999;  32.6; -20.2;   10;   821.4;   26.3;eor
         52;19870101;19871231;   10;  5.83;   7.14;   10.74;    3.61;    2.17; 1299.30;-999;  29.5; -20.2;   10;   868.4;   23.0;eor
         52;19880101;19881231;   10;  5.89;   9.10;   12.85;    5.75;    2.30; 1281.60;  23.2;  28.5;  -9.6;   10;   805.5;   24.4;eor
         52;19890101;19891231;   10;  5.09;   9.56;   13.69;    5.56;    2.01; 1615.50;  23.2;  32.5;  -7.0;   10;   708.2;   68.5;eor
         52;19900101;19901231;   10;  -999;   9.68;   13.63;    6.12;    2.23; 1491.60;-999;  33.4;  -7.0;   10;   954.0;   29.3;eor
         52;19910101;19911231;   10;  5.33;   8.39;   12.26;    4.65;    1.94; 1621.80;  23.7;  31.0; -12.2;    9;   780.2;   38.5;eor
         52;19920101;19921231;   10;  5.25;   9.46;   13.55;    5.18;    2.06; 1568.60;-999;  36.5;  -9.5;    9;   752.1;   25.9;eor
         52;19930101;19931231;   10;  5.75;   8.11;   12.15;    4.47;    2.05; 1324.30;  35.0;  28.5; -13.2;    9;   947.5;   39.4;eor
         52;19940101;19941231;   10;  5.53;   9.39;   13.33;    5.61;    1.89; 1572.60;  27.8;  35.9; -11.7;    9;  1051.0;   61.3;eor
         52;19950101;19951231;   10;  5.28;   8.80;   12.94;    4.70;    1.84; 1673.80;-999;  32.5; -13.5;    9;   800.0;   34.4;eor
         52;19960101;19961231;   10;  5.53;   6.97;   11.05;    3.42;    2.01; 1525.10;-999;  33.8; -15.0;    9;   605.4;   59.2;eor
         52;19970101;19971231;   10;  5.43;   8.78;   12.98;    4.79;    1.87; 1628.20;  21.0;  33.0; -20.4;    9;   736.3;   37.1;eor
         52;19980101;19981231;   10;  5.89;   8.92;   12.69;    5.54;    1.92; 1293.50;-999;  30.5; -11.5;    9;  1062.3;   39.1;eor
         52;19990101;19991231;   10;  5.23;   9.71;   14.07;    5.64;    1.88; 1612.50;-999;  33.8; -13.0;    9;   780.5;   32.7;eor
         52;20000101;20001231;   10;  5.61;   9.87;   13.78;    6.12;    2.02; 1365.00;  22.0;  35.0; -11.1;    9;   765.4;   25.5;eor
         52;20010101;20011231;   10;  5.75;   8.85;   12.75;    5.25;    1.78; 1339.20;-999;  31.7; -12.5;    9;   945.0;   28.8;eor
