STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
         78;19610101;19611231;    5;  5.61;   9.21;   13.48;    4.93;    2.15;-999;-999;  31.5; -15.4;    5;   951.1;   28.8;eor
         78;19620101;19621231;    5;  5.92;   7.40;   11.26;    3.66;    2.28;-999;-999;  27.3; -18.0;    5;   624.5;   31.8;eor
         78;19630101;19631231;    5;  5.73;   7.07;   11.42;    2.54;    1.88;-999;-999;  34.5; -20.4;    5;   607.8;   29.1;eor
         78;19640101;19641231;    5;  5.45;   8.27;   12.68;    3.76;    1.91;-999;-999;  33.3; -20.0;    5;   567.7;   25.5;eor
         78;19650101;19651231;    5;  5.68;   7.77;   11.92;    3.74;    1.84;-999;-999;  27.1; -14.4;    5;   861.6;   25.4;eor
         78;19660101;19661231;    5;  5.89;   8.72;   12.67;    4.85;    1.79;-999;-999;  31.0; -15.2;    5;  1002.8;   34.4;eor
         78;19670101;19671231;    5;  5.48;   9.31;   13.32;    5.16;    1.99;-999;-999;  29.0; -17.3;    5;   964.8;   40.9;eor
         78;19680101;19681231;    5;  5.54;   8.56;   12.53;    4.27;    1.68;-999;-999;  30.4; -24.4;    5;   770.0;   39.2;eor
         78;19690101;19691231;    5;  5.48;   8.30;   12.47;    3.98;    1.67;-999;-999;  33.4; -17.0;    5;   649.1;   29.0;eor
         78;19700101;19701231;    5;  5.69;   8.18;   12.30;    3.97;    1.66;-999;-999;  30.9; -18.0;    5;   754.3;   24.5;eor
         78;19710101;19711231;    5;  5.37;   8.78;   13.43;    4.23;    1.52;-999;-999;  32.6; -21.0;    5;   520.6;   24.5;eor
         78;19720101;19721231;    5;  5.48;   8.03;   12.39;    3.80;    1.56;-999;-999;  31.1; -14.0;    5;   624.7;   32.2;eor
         78;19730101;19731231;    5;  5.50;   8.59;   12.99;    4.28;    1.64;-999;-999;  31.4; -17.4;    5;   683.4;   33.1;eor
         78;19740101;19741231;    5;  5.64;   9.25;   13.42;    5.18;    1.80;-999;-999;  29.5;  -4.0;    5;   802.2;   23.2;eor
         78;19750101;19751231;    5;  5.41;   9.34;   13.75;    5.12;    1.60;-999;-999;  33.0;  -9.9;    5;   668.7;   31.5;eor
         78;19760101;19761231;    5;  5.39;   8.85;   13.43;    4.15;    1.66;-999;-999;  34.3; -14.8;    5;   562.0;   18.9;eor
         78;19770101;19771231;    5;  5.90;   9.11;   13.17;    5.30;    1.70;-999;-999;  28.9;  -7.0;    5;   705.0;   40.2;eor
         78;19780101;19781231;    5;  5.71;   8.16;   12.28;    4.24;    1.57;-999;-999;  30.5; -20.2;    5;   677.3;   37.0;eor
         78;19790101;19791231;    5;  5.79;   7.83;   11.92;    3.92;    1.63;-999;-999;  29.2; -19.5;    5;   792.8;   28.5;eor
         78;19800101;19801231;    5;  5.63;   8.42;   12.59;    4.49;    1.65;-999;-999;  29.6; -12.5;    5;   720.4;   25.2;eor
         78;19810101;19811231;   10;  5.85;   8.70;   12.56;    4.89;    1.64;-999;-999;  30.7; -12.5;   10;   933.8;   88.5;eor
         78;19830101;19831231;   10;  5.22;   9.82;   13.83;    5.76;    1.49;-999;-999;  33.5; -11.5;   10;   721.1;   25.3;eor
         78;19840101;19841231;   10;  5.53;   8.86;   12.55;    5.33;    1.43;-999;-999;  31.5;  -7.0;   10;   787.7;   29.2;eor
         78;19850101;19851231;   10;  5.49;   8.11;   11.91;    4.35;    1.44;-999;-999;  31.5; -25.2;   10;   747.0;   31.2;eor
