STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
         91;19790101;19791231;    5;  5.66;   7.04;   11.25;    3.25;    2.04;-999;-999;  29.1; -21.0;    5;   714.9;   36.0;eor
         91;19800101;19801231;    5;  5.85;   7.08;   11.29;    3.54;    2.26;-999;-999;  28.5; -13.8;    5;   646.3;   34.2;eor
         91;19810101;19811231;   10;  5.99;   7.51;   11.58;    3.98;    2.17;-999;-999;  28.9; -16.5;   10;   925.1;   72.1;eor
         91;19820101;19821231;   10;  5.34;   8.24;   12.88;    4.22;    2.25;-999;-999;  30.5; -21.5;   10;   557.2;   32.4;eor
         91;19830101;19831231;   10;  5.64;   8.27;   12.59;    4.31;    2.32;-999;-999;  33.0; -15.0;   10;   658.9;   31.8;eor
         91;19840101;19841231;   10;  6.15;   7.50;   11.37;    3.99;    2.41;-999;-999;  32.1; -10.8;   10;   797.0;   41.1;eor
         91;19850101;19851231;   10;  5.79;   6.68;   11.20;    2.81;    2.65;-999;-999;  30.5; -21.4;   10;   614.2;   27.2;eor
         91;19860101;19861231;   10;  5.97;   7.33;   11.84;    3.16;    2.71;-999;-999;  33.0; -20.0;   10;   659.8;   56.9;eor
         91;19870101;19871231;   10;  5.97;   6.89;   11.01;    3.08;    2.69;-999;-999;  30.5; -20.0;   10;   690.6;   25.1;eor
         91;19880101;19881231;   10;  5.96;   8.59;   12.70;    4.66;    2.78;-999;-999;  29.5; -14.8;   10;   662.0;   22.2;eor
         91;19890101;19891231;   10;  5.43;   8.86;   13.66;    4.47;    2.63;-999;-999;  32.2;  -8.7;   10;   633.0;   35.0;eor
         91;19900101;19901231;   10;  5.54;   9.01;   13.71;    4.57;    2.90;-999;-999;  33.6;  -8.6;   10;   610.0;   25.1;eor
